student,age,gender,study_per_week,love_of_stats,heart_rate_before,heart_rate_after
1,19,female,4,1,76,68
2,17,female,3,8,77,69
3,18,male,4,10,91,81
4,21,female,4,1,82,72
5,22,female,3,3,80,71
6,21,female,1,2,76,68
7,22,male,1,1,77,69
8,20,male,5,9,73,65
9,20,male,0,11,76,68
10,21,male,4,9,80,70
11,18,male,4,2,79,72
12,19,male,3,5,65,58
13,21,female,2,4,70,63
14,21,female,4,1,68,61
15,20,female,5,8,59,75
16,26,male,4,2,68,61
17,19,male,1,4,76,68
18,19,female,1,1,75,67
19,20,female,4,2,70,66
20,23,male,3,7,68,61
21,22,male,1,4,89,81
22,21,male,1,7,70,63
23,21,male,3,5,73,65
24,20,male,2,4,72,64
25,19,female,5,1,66,59
26,20,male,2,5,66,59
27,21,female,4,3,70,63
28,19,female,3,5,73,65
29,19,female,3,3,76,68
30,23,male,2,6,71,64
31,22,male,6,8,70,63
32,21,male,2,3,73,65
33,20,male,3,8,77,69
34,20,female,4,3,76,68
35,20,male,3,6,77,69
36,21,female,2,3,72,64
37,21,male,3,6,73,65
38,20,female,3,2,77,66
39,19,female,4,7,68,61
40,20,male,5,8,69,158
41,20,male,2,5,73,65
42,21,male,1,7,66,59
43,19,female,2,4,61,55
44,19,male,3,7,80,71
45,23,male,4,9,82,73
46,20,female,3,5,70,63
47,20,male,4,10,79,70
48,19,female,5,6,76,68
49,19,female,4,2,73,65
50,67,female,4,3,87,75
51,21,male,6,1,72,64
52,19,female,4,2,67,60
53,21,male,4,5,65,58
54,22,female,5,6,68,61
55,23,male,2,1,82,73
56,24,male,1,7,80,71
57,21,female,5,4,74,66
58,21,male,3,4,75,67
59,20,male,1,9,69,63
60,23,female,2,4,82,72
