superhero,group,agreeableness
1,Marvel,17
2,DC,12
3,Disney,22
4,Smurfs,340
5,Marvel,16
6,DC,13
7,Disney,14
8,Smurfs,17
9,Marvel,15
10,DC,14
11,Disney,15
12,Smurfs,15
13,Marvel,12
14,DC,8
15,Disney,16
16,Smurfs,12
17,Marvel,17
18,DC,14
19,Disney,15
20,Smurfs,28
21,Marvel,5
22,DC,12
23,Disney,15
24,Smurfs,25
25,Marvel,12
26,DC,15
27,Disney,8
28,Smurfs,15
29,Marvel,27
30,DC,10
31,Disney,15
32,Smurfs,24
33,Marvel,14
34,DC,18
35,Disney,14
36,Smurfs,23
37,Marvel,18
38,DC,10
39,Disney,13
40,Smurfs,22
41,Marvel,18
42,DC,16
43,Disney,14
44,Smurfs,23
45,Marvel,22
46,DC,22
47,Disney,15
48,Smurfs,11
49,Marvel,16
50,DC,15
51,Disney,16
52,Smurfs,22
53,Marvel,17
54,DC,13
55,Disney,16
56,Smurfs,19
57,Marvel,14
58,DC,11
59,Disney,18
60,Smurfs,25
61,Marvel,16
62,DC,18
63,Disney,13
64,Smurfs,19
65,Marvel,21
66,DC,8
67,Disney,15
68,Smurfs,25
69,Marvel,12
70,DC,17
71,Disney,13
72,Smurfs,26
73,Marvel,24
74,DC,12
75,Disney,17
76,Smurfs,20
77,Marvel,13
78,DC,15
79,Disney,15
80,Smurfs,25
81,Marvel,21
82,DC,23
83,Disney,16
84,Smurfs,22
85,Marvel,10
86,DC,19
87,Disney,11
88,Smurfs,29
89,Marvel,14
90,DC,22
91,Disney,21
92,Smurfs,21
93,Marvel,12
94,DC,16
95,Disney,10
96,Smurfs,22
97,Marvel,15
98,DC,11
99,Disney,18
100,Smurfs,15
101,Marvel,22
102,DC,90
103,Disney,14
104,Smurfs,18
105,Marvel,13
106,DC,8
107,Disney,9
108,Smurfs,25
109,Marvel,13
110,DC,16
111,Disney,13
112,Smurfs,16
113,Marvel,15
114,DC,9
115,Disney,17
116,Smurfs,17
117,Marvel,13
118,DC,7
119,Disney,14
120,Smurfs,24
