id,playtime,food_consumption
r1,Fifteen,14.34387739
r1,Thirty,17.74387739
r1,FortyFive,19
r1,Sixty,22
r2,Fifteen,14.20925205
r2,Thirty,15.60925205
r2,FortyFive,17.10925205
r2,Sixty,19
r3,Fifteen,10.1037137
r3,Thirty,13
r3,FortyFive,12
r3,Sixty,14
r4,Fifteen,12.262359
r4,Thirty,14.762359
r4,FortyFive,15
r4,Sixty,14
r5,Fifteen,17.57489126
r5,Thirty,19.37489126
r5,FortyFive,22
r5,Sixty,23
r6,Fifteen,15.30899803
r6,Thirty,15
r6,FortyFive,16
r6,Sixty,17
r7,Fifteen,15.50900953
r7,Thirty,17.90900953
r7,FortyFive,18.40900953
r7,Sixty,19
r8,Fifteen,11.92569898
r8,Thirty,14.32569898
r8,FortyFive,16
r8,Sixty,16
r9,Fifteen,16.20269996
r9,Thirty,18.60269996
r9,FortyFive,21
r9,Sixty,17
r10,Fifteen,16.19972403
r10,Thirty,18.59972403
r10,FortyFive,18
r10,Sixty,16
r11,Fifteen,12.57163622
r11,Thirty,14.97163622
r11,FortyFive,17
r11,Sixty,18
