group,final_exam_grade,minutes_listening
classical,96.54067327,6.99
classical,94.92221987,11.16
classical,92.72509132,10.32
classical,89.08867913,9.51
classical,89.51183316,9.51
classical,87.06157633,8.67
classical,94.04974509,11.16
classical,96.68380266,12
classical,94.0487467,11.16
classical,90.67752974,9.51
classical,96.03097373,11.16
classical,87.19023845,8.67
classical,92.18160767,10.32
classical,96.85451179,12
classical,89.44147247,9.51
classical,85.88740264,8.67
classical,93.70779528,11.16
classical,91.25166254,9.51
classical,86.95057352,8.67
classical,90.39978477,9.51
classical,93.12655412,10.32
classical,94.60644296,11.16
classical,91.19647588,9.51
classical,89.06961603,9.51
classical,88.7146224,9.51
classical,90.82784691,9.51
classical,91.67213594,10.32
classical,91.18917181,8.67
classical,98,11.16
classical,92.30052184,10.32
classical,91.85260761,10.32
classical,91.45857575,9.51
classical,98,12
classical,98,11.16
classical,85.91073098,8.67
classical,94.31510798,11.16
classical,90.94396653,9.51
classical,89.75531076,9.51
classical,87.3618224,8.67
classical,90.93313345,9.51
classical,85.81925609,8.67
classical,88.56191085,9.51
classical,87.96200098,8.67
classical,94.2343193,11.16
classical,94.88084807,11.16
classical,96.41550935,11.16
classical,94.73692876,8.67
classical,92.48515173,10.32
classical,95.1786067,11.16
classical,86.53407554,8.67
jazz,83.1896436,6.99
jazz,88.74110559,8.67
jazz,85.87525612,7.83
jazz,90.1045358,8.67
jazz,85.08752924,7.83
jazz,95.06336442,10.32
jazz,89.19471124,8.67
jazz,90.85765939,9.51
jazz,91.72287684,8.67
jazz,84.99128835,7.83
jazz,91.36866074,9.51
jazz,90.32385598,8.67
jazz,89.30022012,8.67
jazz,94.83203889,8.67
jazz,89.79153397,8.67
jazz,93.96487402,10.32
jazz,92.14136158,9.51
jazz,91.28806977,9.51
jazz,96.36904508,11.16
jazz,89.00094815,8.67
jazz,84.80180254,7.83
jazz,86.75353872,7.83
jazz,82.43922894,6.99
jazz,87.13382943,7.83
jazz,88.81510206,8.67
jazz,87.54485185,8.67
jazz,84.91455214,7.83
jazz,95.79194415,11.16
jazz,84.67821465,7.83
jazz,84.42880465,7.83
jazz,86.62057596,7.83
jazz,88.00704002,8.67
jazz,93.15982049,9.51
jazz,88.20722847,8.67
jazz,88.62545604,8.67
jazz,90.7143098,9.51
jazz,90.3517795,8.67
jazz,87.77329458,8.67
jazz,93.2048903,9.51
jazz,86.36428524,7.83
jazz,87.05612616,12
jazz,86.8394508,7.83
jazz,92.57117108,9.51
jazz,90.36051674,8.67
jazz,84.58121282,7.83
jazz,89.24030896,8.67
jazz,83.42615585,6.99
jazz,90.98016698,9.51
jazz,83.77086854,6.99
jazz,89.43314908,12
country,69.88917638,2.82
country,71.03240669,3.66
country,80.26909663,6.18
country,76.32058632,4.5
country,79.8227266,6.18
country,74.45564263,2.82
country,70.59905464,3.66
country,70.92605113,3.66
country,73.12227085,2.01
country,74.16682869,4.5
country,69.00109428,2.82
country,73.24370451,3.66
country,77.12107018,6.99
country,74.6870732,4.5
country,73.13926562,3.66
country,73.5984349,4.5
country,74.98718043,4.5
country,73.88283028,4.5
country,70.51999033,3.66
country,74.0492885,4.3
country,74.04447438,4.6
country,75.39094071,4.5
country,73.04354612,3.66
country,80.42209618,6.18
country,75.0387482,2.01
country,68.02742238,2.01
country,71.9936076,3.66
country,71.88110811,3.66
country,69.03047137,2.82
country,74.69900382,3.66
country,80.31731626,6.18
country,74.68986343,4.5
country,76.81913841,5.34
country,76.11962856,4.5
country,74.89472163,4.5
country,75.92148709,5.34
country,76.21741737,4.5
country,77.3774213,5.34
country,76.05372947,4.5
country,76.93757979,5.34
country,80.12329056,6.18
country,78.95410272,5.34
country,76.02363974,4.5
country,77.96756941,5.34
country,73.47557073,3.66
country,72.4118304,6.99
country,72.48814324,3.66
country,77.92830226,5.34
country,81.73247245,6.99
country,77.45907128,5.34
