id,task,level,score
p1,math,10,85.856
p1,math,20,66.031
p1,math,30,72.17
p1,word,10,73.387
p1,word,20,58.106
p1,word,30,77.771
p2,math,10,65.554
p2,math,20,72.596
p2,math,30,64.88
p2,word,10,60.408
p2,word,20,60.649
p2,word,30,76.309
p3,math,10,84.42
p3,math,20,85.622
p3,math,30,71.351
p3,word,10,91.316
p3,word,20,74.42
p3,word,30,79.957
p4,math,10,78.547
p4,math,20,79.797
p4,math,30,70.834
p4,word,10,75.052
p4,word,20,58.886
p4,word,30,69.038
p5,math,10,84.155
p5,math,20,77.179
p5,math,30,74.142
p5,word,10,80.027
p5,word,20,68.312
p5,word,30,71.384
p6,math,10,67.797
p6,math,20,64.452
p6,math,30,55.078
p6,word,10,59.19
p6,word,20,48.033
p6,word,30,53.661
p7,math,10,71.279
p7,math,20,67.033
p7,math,30,61.958
p7,word,10,76.216
p7,word,20,58.084
p7,word,30,74.904
p8,math,10,88.975
p8,math,20,92.083
p8,math,30,87.401
p8,word,10,85.18
p8,word,20,74.231
p8,word,30,73.941
p9,math,10,55
p9,math,20,48.801
p9,math,30,43.94
p9,word,10,67.633
p9,word,20,47.497
p9,word,30,60.675
p10,math,10,61.134
p10,math,20,50.664
p10,math,30,48.311
p10,word,10,67.873
p10,word,20,59.941
p10,word,30,83.06
